speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
11.9006002838664,1.18547194584281,2.75,-0.580157333726293,1.79815395743163,1,4,553.812678636887,36.04,2.0901444163282,1.85935231823392,2.54009879540153,0,99.5982640639903,0,-18.8359248371987,1,53.9539007934761,1,1.2,-5.36183288293551,-1.66801609480175,-0.179473843249331,1.87162130319676,2.01343190800239,0,2944.85935231823,
12.3899602467251,1.26109838304196,3,-0.670274682790749,1.79743126941633,1,4,576.585794730521,36.04,2.17609243319675,2.01541171506946,2.75329469271784,0,99.564545511973,0,-17.6718496743973,1,52.2391590207481,1,1.2,-6.14380567425703,-1.85350332035976,-0.256843738216968,2.05293585242722,2.18554812423848,0,2945.01541171507,
12.8598036499698,1.33373784128702,3.25,-0.772992260645565,1.79671021246549,1,4,598.450677802309,36.04,2.25861268784071,2.1711639932927,2.96607102908839,0,99.5308933167091,0,-16.507774511596,1,50.4690783613792,1,1.2,-6.98079498131829,-2.03529367184544,-0.262075758143338,2.23658226095776,2.35517360021457,0,2945.17116399329,
13.3122996304568,1.40372335774567,3.5,-0.88700002742274,1.79599057452571,1,4,619.508271961291,36.04,2.33808615341942,2.32664498569023,3.17847675640741,0,99.4972997360843,0,-15.4162070069176,1,48.7536104294843,1,1.2,-7.89165813089286,-2.22893296314674,-0.289743652582703,2.42268665199182,2.52209809199249,0,2945.32664498569,
13.7492400582704,1.47133000911197,3.75,-0.983423424162548,1.79527219003515,1,4,639.841964628897,36.04,2.41482754239797,2.48188321659224,3.39055084233912,0,99.4637586070662,0,-14.8324140138351,1,47.8119833915123,1,1.2,-8.83759351862407,-2.43246718148446,-0.315265629520919,2.61142094072449,2.68604286511391,0,2945.48188321659,
14.1721258279192,1.53678817234032,4,-1.08765750828897,1.79455492719999,1,4,659.521602232064,36.04,2.4891004621745,2.63690177135989,3.60232482426214,0,99.4302649417787,0,-14.2486210207527,1,46.8522138879078,1,1.2,-9.81252790501052,-2.61686022643299,-0.294991389315616,2.80283587287431,2.84684933388578,0,2945.63690177136,
14.5822292514765,1.6002931123139,4.25,-1.2210501485292,1.79383867935659,1,4,678.606393763661,36.04,2.56112837340748,2.7917196024753,3.81382459354549,0,99.396814645305,0,-13.4372173157995,1,45.485954500062,1,1.2,-10.8552193971658,-2.83456370466418,-0.358993409623787,2.99695890603913,3.00437534812966,0,2945.79171960248,
14.9806401928192,1.6620120706761,4.5,-1.34501639552028,1.79312335893691,1,4,697.147057710031,36.04,2.63110269273492,2.94635246480106,4.02507167322549,0,99.3634043136131,0,-12.874434631599,1,44.5146333520874,1,1.2,-11.9423786850438,-3.06400293113737,-0.389293990836855,3.19391610443449,3.15834254629532,0,2945.9463524648,
15.3683008494433,1.72208960998122,4.75,-1.48023400324754,1.79240889314715,1,4,715.187440676102,36.04,2.69918890162737,3.10081359980642,4.23608415274101,0,99.3300310857208,0,-12.3116519473986,1,43.5224153985693,1,1.2,-13.077959778197,-3.25746263988459,-0.337215098352108,3.39375883153395,3.30854486615389,0,2946.10081359981,
15.7460324264265,1.78065171185683,5,-1.62832544801286,1.79169522080643,1,4,732.765758699137,36.04,2.76553123123007,3.25511424564526,4.44687738476129,0,99.2966925334867,0,-11.7488692631981,1,42.5078364248134,1,1.2,-14.2802395677158,-3.50172450114614,-0.436784908279361,3.59653872663928,3.45475689009181,0,2946.25511424565,
16.114555903479,1.83780896745155,5.25,-1.75270831745432,1.79098228998998,1,4,749.915563675251,36.04,2.83025630975332,3.40926402379264,4.65746451337793,0,99.2633865780729,0,-11.431995206667,1,41.9261302277309,1,1.2,-15.5004547083531,-3.70080532966383,-0.364742767903607,3.8023416114729,3.59668180635948,0,2946.40926402379,
16.4745084219951,1.8936590948389,5.5,-1.9276605259661,1.79027005624271,1,4,766.666505956018,36.04,2.89347604058822,3.56327123649462,4.86785688045713,0,99.2301114256769,0,-10.8639904133341,1,40.8633400879684,1,1.2,-16.7825651975538,-4.03761161060842,-0.631516397781118,4.01111969455354,3.7341916388703,0,2946.56327123649,
16.8264563727675,1.94828894945711,5.75,-2.12183885912703,1.78955848120493,1,4,783.044943405284,36.04,2.95528990094806,3.71714309867129,5.07806434244711,0,99.1968655174265,0,-10.2959856200011,1,39.7730215020806,1,1.2,-18.1076540137716,-4.35502553832562,-0.608449519304354,4.22292178651765,3.86699526517909,0,2946.71714309867,
